dms_orig,dms_dest,description,state
#------------------------------------------------------+
# Alaska (20) to and from...                           |
#------------------------------------------------------+
20,41,Phoenix-Mesa-Glendale,AZ
20,42,Tucson-Nogales,AZ
20,49,Remainder of Arizona,AZ
20,321,Las Vegas-Henderson,NV
20,350,New Mexico,NM
20,491,Salt Lake City-Provo-Orem,UT
20,499,Remainder of Utah,UT 
#------------------------------------------------------+
# Montana (300) to and from...                         |
#------------------------------------------------------+
300,41,Phoenix-Mesa-Glendale,AZ
300,42,Tucson-Nogales,AZ
300,49,Remainder of Arizona,AZ
300,61,Los Angeles-Long Beach,CA
300,62,Sacramento-Roseville,CA
300,63,San Diego-Carlsbad-San Marcos,CA
300,64,San Jose-San Francisco-Oakland,CA
300,65,Fresno-Madera,CA
300,69,Remainder of California,CA
300,321,Las Vegas-Henderson,NV
300,329,Remainder of Nevada,NV
300,350,New Mexico,NM
300,491,Salt Lake City-Provo-Orem,UT
300,499,Remainder of Utah,UT 
#------------------------------------------------------+
# Portland, OR (411) to and from                       |
#------------------------------------------------------+
411,11,Birmingham-Hoover-Talladega,AL
411,12,Mobile-Daphne-Fairhope,AL
411,19,Remainder of Alabama,AL
411,50,Arkansas,AR
411,81,Denver-Aurora,CO
411,89,Remainder of Colorado,CO
411,91,Hartford-West Hartford-East Hartford,CT
411,92,New York-Newark,CT
411,99,Remainder of Connecticut,CT
411,101,Philadelphia-Reading-Camden,DE
411,109,Remainder of Delaware,DE
411,111,Washington,DC
411,121,Jacksonville-Palatka,FL
411,122,Miami-Fort Lauderdale-Port St. Lucie,FL
411,123,Orlando-Deltona-Daytona Beach,FL
411,124,Tampa-St. Petersburg-Clearwater,FL
411,129,Remainder of Florida,FL
411,131,Atlanta-Athens-Clarke County-Sandy Springs,GA
411,132,Savannah-Hinesville-Statesboro,GA
411,139,Remainder of Georgia,GA
411,151,Honolulu,HI
411,159,Remainder of Hawaii,HI
411,160,Idaho,ID
411,171,Chicago-Naperville,IL
411,172,St. Louis-St. Charles-Farmington,IL
411,179,Remainder of Illinois,IL
411,181,Chicago-Naperville,IN
411,182,Indianapolis-Carmel-Muncie,IN
411,183,Fort Wayne-Huntington-Auburn,IN
411,189,Remainder of Indiana,IN
411,190,Iowa,IA
411,201,Kansas City-Overland Park,KS
411,202,Wichita-Arkansas City-Winfield,KS
411,209,Remainder of Kansas,KS
411,211,Cincinnati-Wilmington-Maysville,KY
411,212,Louisville/Jefferson County-Elizabethtown-Madison,KY
411,219,Remainder of Kentucky,KY
411,221,Baton Rouge,LA
411,222,Lake Charles,LA
411,223,New Orleans-Metairie-Hammond,LA
411,229,Remainder of Louisiana,LA
411,230,Maine,ME
411,241,Baltimore-Columbia-Towson,MD
411,242,Washington-Arlington-Alexandria,MD
411,249,Remainder of Maryland,MD
411,251,Boston-Worcester-Providence,MA
411,259,Remainder of Massachusetts,MA
411,261,Detroit-Warren-Ann Arbor,MI
411,262,Grand Rapids-Wyoming-Muskegon,MI
411,269,Remainder of Michigan,MI 
411,271,Minneapolis-St. Paul,MN
411,279,Remainder of Minnesota,MN
411,280,Mississippi,MS
411,291,Kansas City,MO
411,292,St. Louis-St. Charles-Farmington,MO
411,299,Remainder of Missouri,MO
411,300,Montana,MT
411,311,Omaha-Council Bluffs-Fremont,NE
411,319,Remainder of Nebraska,NE
411,331,Providence,NH
411,339,Remainder of New Hampshire,NH
411,341,Newark,NJ
411,342,Camden,NJ
411,350,New Mexico,NM
411,361,Albany-Schenectady,NY
411,362,Buffalo-Cheektowaga,NY
411,363,New York,NY
411,364,Rochester-Batavia-Seneca Falls,NY
411,369,Remainder of New York,NY
411,371,Charlotte-Concord,NC
411,372,Greensboro-Winston-Salem-High Point,NC
411,373,Raleigh-Durham-Chapel Hill,NC
411,379,Remainder of North Carolina,NC
411,380,North Dakota,ND
411,391,Cincinnati-Wilmington,OH
411,392,Cleveland-Akron-Canton,OH
411,393,Columbus-Marion-Zanesville,OH
411,394,Dayton-Springfield-Sidney,OH
411,399,Remainder of Ohio,OH
411,401,Oklahoma City-Shawnee,OK
411,402,Tulsa-Muskogee-Bartlesville,OK
411,409,Remainder of Oklahoma,OK
411,421,Philadelphia-Reading,PA
411,422,Pittsburgh-New Castle-Weirton,PA
411,423,New York-Newark,PA
411,429,Remainder of Pennsylvania,PA
411,441,Rhode Island,RI
411,451,Charleston-North Charleston-Summerville,SC
411,452,Greenville-Spartanburg-Anderson,SC
411,459,Remainder of South Carolina,SC
411,460,South Dakota,SD
411,471,Memphis,TN
411,472,Nashville-Davidson-Murfreesboro,TN
411,473,Knoxville-Morristown-Sevierville,TN
411,479,Remainder of Tennessee,TN
411,481,Austin-Round Rock,TX
411,482,Beaumont-Port Arthur,TX
411,483,Corpus Christi-Kingsville-Alice,TX
411,484,Dallas-Fort Worth,TX
411,485,El Paso,TX 
411,486,Houston-The Woodlands,TX
411,487,Laredo,TX
411,488,San Antonio-New Braunfels,TX
411,489,Remainder of Texas,TX
411,491,Salt Lake City-Provo-Orem,UT
411,499,Remainder of Utah,UT 
411,500,Vermont,VT 
