STDM_TAZ,Area
1,3867125.76
2,2863905.16
3,329062.99
4,2845557.76
5,151139.72
6,159005.56
7,1619994.65
8,383739.96
9,43602.69
10,19693.83
11,189700.76
12,44186.93
13,64955.37
14,98897.98
15,153769.3
16,301408.09
17,236794.02
18,101549.21
19,138570
20,113110.17
21,67005.91
22,472142.41
23,99092.72
24,46929.21
25,38096.88
26,198163.7
27,335587.37
28,6889648.42
29,438259.47
30,348476.11
31,416475.24
32,52799.78
33,120633.12
34,277157.06
35,436214.8
36,333176.33
37,408991.45
38,164844.93
39,164838.93
40,271049.07
41,271156.37
42,858017.36
43,3128170.73
44,301165.26
45,202748.34
46,157683.4
47,460441.27
48,215893.94
49,975909.34
50,523786.62
51,299617.31
52,458246
53,256592.9
54,194472.86
55,337977.81
56,119175.21
57,107098.71
58,752141.26
59,144881.87
60,615199.76
61,211783.31
62,158312.66
63,214187.05
64,772558.02
65,89795.4
66,330101.85
67,1004612.61
68,649221.7
69,328210.54
70,330552.32
71,164836.78
72,247100.82
73,504271.22
74,2507877.41
75,329443.88
76,82164.36
77,82931.18
78,172622.29
79,165032.19
80,82963.47
81,345166.79
82,3610282.12
83,415347.67
84,338264.75
85,498834.29
86,83136.98
87,163519.13
88,48798.43
89,195839.27
90,1219352.05
91,839715.83
92,852539.44
93,3024116.18
94,973151.41
95,682287.17
96,241522.74
97,88549.95
98,164269.63
99,161218.02
100,165506.67
101,165877.41
102,660887.36
103,667292.56
104,1986323.2
105,162671.2
106,332628.91
107,614470.71
108,662428.94
109,1819184.8
110,412319.52
111,165991.66
112,179361.05
113,163712.78
114,1195561.95
115,1844212.71
116,714136
117,300169.81
118,137829.68
119,4946538.49
120,1081974.4
121,325720.34
122,1135094.83
123,214834.63
124,48216.09
125,167814.81
126,144440.27
127,107808.45
128,214448.29
129,144241.02
130,47779.82
131,47987
132,120020.52
133,194129.49
134,97909.4
135,23914.1
136,97997.21
137,107657.01
138,47947.91
139,83864.82
140,47896.21
141,675394.94
142,197381.9
143,237149.81
144,217255.41
145,152712.39
146,176033.93
147,321482.96
148,256534.13
149,297097.22
150,552159.15
151,243333.08
152,551599.78
153,5496106.17
154,1039655.23
155,529961.77
156,318410.35
157,236645.95
158,1106307.99
159,413477.35
160,343063.27
161,772554.09
162,609926.92
163,426630.76
164,455436.64
165,692603.18
166,902720.17
167,631524.66
168,394325.11
169,1272154
170,595737.39
171,2716284.36
172,3036562.57
173,3624167.21
174,520045.72
175,973161.49
176,751172.08
177,509273.07
178,387010.61
179,657467.37
180,771334.15
181,618941.56
182,960067.41
183,5755752.25
184,20022384.86
185,222798.74
186,543309.19
187,1134891.63
188,1150516.14
189,387014.94
190,1603990.27
191,11210494.04
192,11085422.4
193,14035817.98
194,1301998.06
195,24040094.8
196,1291005.47
197,1281598.88
198,684866.7
199,2345891.43
200,1474448.8
201,2620740.28
202,2636547.12
203,1316755.83
204,1322007.65
205,2614502.72
206,3912783
207,2455907.88
208,3842791.08
209,3017703.05
210,2632411.06
211,2624301.28
212,5254624.98
213,3101204.69
214,666683.11
215,653846.35
216,427995.03
217,1327081.21
218,790437
219,1141219
220,587023.3
221,350588.9
222,920620.23
223,646742.29
224,651307.59
225,826785.75
226,918878.96
227,608764.43
228,628197.93
229,494152.06
230,664252.36
231,1365838.87
232,1304052.41
233,1196470.45
234,809570.29
235,670884.53
236,646793.14
237,601584.18
238,473195.58
239,603940.23
240,823063.05
241,1250861.28
242,587963.86
243,831510.93
244,1099502.94
245,1487972.98
246,652311.36
247,899890.47
248,1095412.71
249,1591996.38
250,1519513.38
251,2591326.83
252,2602395.75
253,1294125.61
254,1280007.56
255,1001622.26
256,895915.69
257,898308.2
258,887785.39
259,644376.44
260,662945.51
261,482131.71
262,1719765.36
263,2588090.96
264,2304881.42
265,1572456.68
266,815907.68
267,633590.33
268,653771.48
269,858588.14
270,625277.67
271,108783.37
272,670746.76
273,737317.48
274,871886.32
275,926491.55
276,281782.07
277,547042.72
278,385375.92
279,1349925.9
280,1351553.03
281,1392660.86
282,335956.01
283,4268416.8
284,3001444.94
285,1031787.54
286,661134.65
287,1171037.98
288,529105.33
289,972101.96
290,913706.23
291,629224.51
292,537204.56
293,2469589.25
294,1904069.79
295,1552060.85
296,1963337.55
297,1614401.64
298,564887.92
299,1061467.08
300,1331205.33
301,391991.58
302,579750.77
303,890451.96
304,1056495.94
305,725365.98
306,510193
307,468504.34
308,840848.56
309,302237.91
310,696802
311,871503.01
312,386785.24
313,256640.7
314,323111.32
315,542869.33
316,309184.3
317,284625.22
318,401960.81
319,152531.58
320,409648.44
321,832150.97
322,801172.89
323,18210098.53
324,13052501.36
325,18086956.32
326,11179387.11
327,4465288.6
328,5854568.31
329,11899509.29
330,6797553.95
331,8823828.19
332,651030.51
333,830738.21
334,248953.19
335,556164.74
336,583820.95
337,1119375.82
338,81457946.58
339,37120944.44
340,19844100.37
341,28471344.45
342,71160063.66
343,73722659.45
344,34851354.59
345,9918848.36
346,11652091.65
347,7855055.92
